N	f	V	T	ttf
	436587820.0	112.5442076	5	
	411703700.0	112.5442076	5	
	432956240.0	112.5442076	5	
	531889430.0	112.5442076	5	
	386563910.0	112.5442076	5	
	567813370.0	112.5442076	5	
	541378510.0	112.5442076	5	
	487755980.0	112.5442076	5	
	542153370.0	112.5442076	5	
	588964990.0	112.5442076	5	
	609548030.0	112.5442076	5	
	542698610.0	112.5442076	5	
	472059870.0	112.5442076	5	
	495498100.0	112.5442076	5	
	463485870.0	112.5442076	5	
	506987140.0	112.5442076	5	
	499009380.0	112.5442076	5	
	502240560.0	112.5442076	5	
	484437210.0	112.5442076	5	
	523145110.0	112.5442076	5	
	402249530.0	112.5442076	5	
	545391300.0	112.5442076	5	
	473875330.0	112.5442076	5	
	433535910.0	112.5442076	5	
	575700660.0	112.5442076	5	
	560144420.0	112.5442076	5	
	517608430.0	112.5442076	5	
	548645730.0	112.5442076	5	
	560888600.0	112.5442076	5	
	565231660.0	112.5442076	5	
	740599160.0	112.5442076	5	
	509363150.0	112.5442076	5	
	436625760.0	112.5442076	5	
	491165550.0	112.5442076	5	
	693821140.0	112.5442076	5	
	547601690.0	112.5442076	5	
	480641650.0	112.5442076	5	
	623742500.0	112.5442076	5	
	499222880.0	112.5442076	5	
	509360660.0	112.5442076	5	
	683133470.0	112.5442076	5	
	424401290.0	112.5442076	5	
	445534560.0	112.5442076	5	
	496174090.0	112.5442076	5	
	388595270.0	112.5442076	5	
	765394390.0	112.5442076	5	
	423505690.0	112.5442076	5	
	569991660.0	112.5442076	5	
	440800730.0	112.5442076	5	
	544718090.0	112.5442076	5	
	396399520.0	112.5442076	5	
	522689400.0	112.5442076	5	
	433092300.0	112.5442076	5	
	412734820.0	112.5442076	5	
	279202390.0	112.5442076	11	
	285072510.0	112.5442076	11	
	213458160.0	112.5442076	11	
	283595570.0	112.5442076	11	
	288700410.0	112.5442076	11	
	216883980.0	112.5442076	11	
	260168090.0	112.5442076	11	
	268306920.0	112.5442076	11	
	240762540.0	112.5442076	11	
	235312450.0	112.5442076	11	
	250858100.0	112.5442076	11	
	260510970.0	112.5442076	11	
	228363060.0	112.5442076	11	
	249257980.0	112.5442076	11	
	215615610.0	112.5442076	11	
	228835600.0	112.5442076	11	
	289088990.0	112.5442076	11	
	240877620.0	112.5442076	11	
	282257840.0	112.5442076	11	
	212660930.0	112.5442076	11	
	295168970.0	112.5442076	11	
	242469850.0	112.5442076	11	
	280758540.0	112.5442076	11	
	291768490.0	112.5442076	11	
	253849630.0	112.5442076	11	
	282421060.0	112.5442076	11	
	274016730.0	112.5442076	11	
	275023670.0	112.5442076	11	
	280845180.0	112.5442076	11	
	228113750.0	112.5442076	11	
	256205750.0	112.5442076	11	
	271786830.0	112.5442076	11	
	265967030.0	112.5442076	11	
	276137180.0	112.5442076	11	
	267677060.0	112.5442076	11	
	255318150.0	112.5442076	11	
	210636660.0	112.5442076	11	
	317504150.0	112.5442076	11	
